No Partido,Fecha y Hora,Match,Local,Visitante,Resultado,Marcador No Definitivo,Estadio,Goles Local,Goles Visitante
1,13 July 1930,Group 1,France,Mexico,4-1 (3-0),(3-0),"Estadio Pocitos, Montevideo","L. Laurent 19' Langiller 40' Maschinot 43', 87'",Carreño 70'
5,15 July 1930,Group 1,Argentina,France,1-0 (0-0),(0-0),"Estadio Parque Central, Montevideo",Monti 81',
6,16 July 1930,Group 1,Chile,Mexico,3-0 (1-0),(1-0),"Estadio Parque Central, Montevideo","Vidal 3', 65' M. Rosas 51' (o.g.)",
10,19 July 1930,Group 1,Chile,France,1-0 (0-0),(0-0),"Estadio Centenario, Montevideo",Subiabre 65',
11,19 July 1930,Group 1,Argentina,Mexico,6-3 (3-1),(3-1),"Estadio Centenario, Montevideo","Stábile 8', 17', 80' Zumelzú 12', 55' Varallo 53'","M. Rosas 42' (pen.), 65' Gayón 75'"
15,22 July 1930,Group 1,Argentina,Chile,3-1 (2-1),(2-1),"Estadio Centenario, Montevideo","Stábile 12', 13'  M. Evaristo 81'",Subiabre 15'
3,14 July 1930,Group 2,Yugoslavia,Brazil,2-1 (2-0),(2-0),"Estadio Parque Central, Montevideo",Tirnanić 21' Bek 30',Preguinho 62'
7,17 July 1930,Group 2,Yugoslavia,Bolivia,4-0 (0-0),(0-0),"Estadio Parque Central, Montevideo","Bek 60', 67' Marjanović 65' Vujadinović 85'",
12,20 July 1930,Group 2,Brazil,Bolivia,4-0 (1-0),(1-0),"Estadio Centenario, Montevideo","Moderato 37', 73' Preguinho 57', 83'",
4,14 July 1930,Group 3,Romania,Peru,3-1 (1-0),(1-0),"Estadio Pocitos, Montevideo",Deşu 1' Stanciu 79' Kovács 89',Souza Ferreira 75'
9,18 July 1930,Group 3,Uruguay,Peru,1-0 (0-0),(0-0),"Estadio Centenario, Montevideo",Castro 60',
14,21 July 1930,Group 3,Uruguay,Romania,4-0 (4-0),(4-0),"Estadio Centenario, Montevideo",Dorado 7' Scarone 24' Anselmo 30' Cea 35',
2,13 July 1930,Group 4,United States,Belgium,3-0 (2-0),(2-0),"Estadio Parque Central, Montevideo",McGhee 23' Florie 45' Patenaude 69',
8,17 July 1930,Group 4,United States,Paraguay,3-0 (2-0),(2-0),"Estadio Parque Central, Montevideo","Patenaude 10', 15', 50'",
13,20 July 1930,Group 4,Paraguay,Belgium,1-0 (1-0),(1-0),"Estadio Centenario, Montevideo",Vargas Peña 40',
16,26 July 1930,Semi finals,Argentina,United States,6-1 (1-0),(1-0),"Estadio Centenario, Montevideo","Monti 20' Scopelli 56' Stábile 69', 87' Peucelle 80', 85'",Brown 89'
17,27 July 1930,Semi finals,Uruguay,Yugoslavia,6-1 (3-1),(3-1),"Estadio Centenario, Montevideo","Cea 18', 67', 72' Anselmo 20', 31' Iriarte 61'",Vujadinović 4'
18,30 July 1930,Final,Uruguay,Argentina,4-2 (1-2),(1-2),"Estadio Centenario, Montevideo",Dorado 12' Cea 57' Iriarte 68' Castro 89',Peucelle 20' Stábile 37'
